_time,content,level
2021-07-29T10:44:46.224+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.224+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.224+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.223+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.223+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.222+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.190+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.190+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.190+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.189+0800,Windows Error Reporting Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.189+0800,Windows Error Reporting Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.189+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.189+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.162+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.160+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.160+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.160+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.159+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.159+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.127+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.125+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.124+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.124+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.055+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.055+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.054+0800,Virtual Disk 服务处于 停止 状态。,4
2021-07-29T10:44:46.054+0800,服务停止。,4
2021-07-29T10:44:46.054+0800,Virtual Disk 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.054+0800,服务开始。,4
2021-07-29T10:44:46.054+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.053+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.052+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.026+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.026+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.026+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.025+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:46.025+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:46.024+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:46.023+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.996+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.995+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.994+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.964+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.964+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.964+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.963+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.963+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.962+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.933+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.932+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.932+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.898+0800,生成以下严重警告: 10。内部错误状态为 1203。,4
2021-07-29T10:44:45.898+0800,终端服务器安全层在协议流中检测到错误，并已取消客户端连接。 客户端 IP: 192.168.100.132。,4
2021-07-29T10:44:45.898+0800,生成以下严重警告: 10。内部错误状态为 1203。,4
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.898+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
